timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
142136000,142136000,137298000,37.4135339,-121.99656089999999,0.0047640554,-0.017323714,-0.008668136,-0.009727469,0.011807502,0.0,0.0069838786,-0.012032357,0.018108932,0.0064541805,-0.012440832,-0.0016819163,-0.02094555,-0.0022517631,-0.033692613,0.0024959443,-0.4609752,0.03218257,-0.0028276723,-0.0029205992,0.00033785938,1.3044062,0.09766786,0.47697386,0.32701162,0.21307112,0.09727922,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
142632000,142632000,137298000,37.4135339,-121.99656089999999,0.0031565982,-0.021134986,-0.0052150185,-0.009727469,0.011807502,0.0,0.005249207,-0.015818201,0.023477497,0.011338913,-0.012440832,-0.0016819163,-0.02094555,-0.014791905,-0.0022834355,0.025043262,-0.46052775,0.032158997,-0.002907668,-0.0029205992,0.00032767982,1.3044062,0.09736441,0.4852315,0.32829168,0.22028,0.093701705,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
143136000,143136000,137298000,37.4135339,-121.99656089999999,0.0011080101,-0.021143053,0.005600724,-0.009727469,0.011807502,0.0,0.0007736634,-0.0153481085,0.033835944,0.02351279,-0.012440832,-0.0016819163,-0.02094555,0.011986775,-0.017611789,0.015097669,-0.45981997,0.032136615,-0.0028205838,-0.0029205992,0.00030616325,1.3044062,0.0952137,0.4552405,0.31251368,0.19847204,0.08752434,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
143632000,143632000,137298000,37.4135339,-121.99656089999999,-0.0012979765,-0.021838997,0.017111316,-0.009727469,0.011807502,0.0,-0.0029511594,-0.016540155,0.039709955,0.028267426,-0.012440832,-0.0016819163,-0.02094555,-0.028533233,0.0042024762,0.0070706005,-0.45939526,0.032121904,-0.0026878219,-0.0029205992,0.0003014871,1.3044062,0.09323963,0.46769896,0.31575757,0.2054577,0.08676017,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
144136000,144136000,137298000,37.4135339,-121.99656089999999,-0.0065042838,-0.015860453,0.026021698,-0.009727469,0.011807502,0.0,-0.0062697795,-0.009329154,0.040479504,0.024705233,-0.012440832,-0.0016819163,-0.02094555,0.043565013,-0.02716136,0.010808929,-0.45917058,0.032102074,-0.0026797245,-0.0029205992,0.00029737744,1.3044062,0.09256304,0.4828422,0.31789216,0.2113074,0.086531,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
144632000,144632000,137298000,37.4135339,-121.99656089999999,-0.012038549,-0.016863784,0.033638496,-0.009727469,0.011807502,0.0,-0.007900777,-0.015953744,0.046239104,0.02619093,-0.012440832,-0.0016819163,-0.02094555,-0.008740753,-0.0072599063,0.030412337,-0.45879924,0.032100413,-0.0026530293,-0.0029205992,0.00029373466,1.3044062,0.09367351,0.49807787,0.32070252,0.21544778,0.08694811,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
145136000,145136000,137298000,37.4135339,-121.99656089999999,-0.008551941,-0.01810618,0.047372766,-0.009727469,0.011807502,0.0,-0.0075174877,-0.019038979,0.05311944,0.032861806,-0.012440832,-0.0016819163,-0.02094555,-0.019431608,-0.0061621536,-0.0007487833,-0.45834908,0.032062512,-0.0024229416,-0.0029205992,0.00028231944,1.3044062,0.08915468,0.46492946,0.30711976,0.19205181,0.08450866,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
145632000,145632000,137298000,37.4135339,-121.99656089999999,-0.0038620594,-0.017494041,0.061226122,-0.009727469,0.011807502,0.0,-0.006637321,-0.017869577,0.058150582,0.0351383,-0.012440832,-0.0016819163,-0.02094555,-0.037853196,0.12176635,0.023868864,-0.45859864,0.032044813,-0.002731551,-0.0029205992,0.00028056497,1.3044062,0.08892427,0.47768798,0.3090404,0.19505307,0.08560635,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,0,0,0
146136000,146136000,137298000,37.4135339,-121.99656089999999,-0.0028488352,-0.016197452,0.0762456,-0.009727469,0.011807502,0.0,-0.005395699,-0.018309768,0.062149882,0.03663592,-0.012440832,-0.0016819163,-0.02094555,-0.007123744,0.0058454275,0.030882655,-0.45848832,0.03203603,-0.002574894,-0.0029205992,0.0002794048,1.3044062,0.089216776,0.49181777,0.31288165,0.19837084,0.0871648,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,0,0,0
146632000,146632000,137298000,37.4135339,-121.99656089999999,0.0058750412,-0.01596384,0.08850533,-0.009727469,0.011807502,0.0,-0.0023233525,-0.017363958,0.06593391,0.03622393,-0.012440832,-0.0016819163,-0.02094555,-0.020888764,0.006676302,0.029615125,-0.45804304,0.03202735,-0.002288834,-0.0029205992,0.0002785318,1.3044062,0.09091848,0.5051892,0.31657815,0.20119517,0.08874464,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,0,0,0
147136000,147136000,137298000,37.4135339,-121.99656089999999,0.004439244,-0.01409958,0.09726171,-0.009727469,0.011807502,0.0,-0.0065732845,-0.011714775,0.06916546,0.032450188,-0.012440832,-0.0016819163,-0.02094555,0.016448306,0.017236477,0.02580974,-0.4575353,0.03201824,-0.0020906401,-0.0029205992,0.000272371,1.3044062,0.08969848,0.46974224,0.30344528,0.18115091,0.08685112,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,0,0,0
147632000,147632000,137298000,37.4135339,-121.99656089999999,0.0030240032,-0.01105817,0.107232094,-0.009727469,0.011807502,0.0,-0.010522666,-0.004170257,0.07213377,0.030545784,-0.012440832,-0.0016819163,-0.02094555,-0.028483117,-0.009221148,0.022723338,-0.45731226,0.03201136,-0.0019712923,-0.0029205992,0.00027231348,1.3044062,0.089262694,0.48123467,0.3076632,0.1843866,0.08845822,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,0,0,0
