timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
193848000,-0.0029294766,-0.001597899,-0.0010652647,4000,0,-0.06627119,-0.044953268,-9.804929,4000,0,0,1,1
193852000,-0.0013315802,-0.0034621127,-0.0034621072,4000,0,-0.053103063,-0.025799649,-9.797746,4000,0,0,1,1
193856000,-0.00079894875,-0.004793691,-0.0045273737,4000,0,-0.018387126,0.01011338,-9.78338,4000,0,0,1,1
193860000,-0.0005326311,-0.003195794,-0.003728426,4000,0,-0.017190024,-0.004251831,-9.761832,4000,0,0,1,1
193864000,0.00026631594,-0.0013315812,-0.0013315802,4000,0,-0.059088577,-0.023405451,-9.752255,4000,0,0,1,1
193868000,-0.00079894916,-0.0018642127,-0.00026631667,4000,0,-0.067468286,-0.0066460455,-9.776198,4000,0,0,1,1
193872000,-0.002663161,-0.0018642129,-0.00053263345,4000,0,-0.045920465,0.0017336827,-9.7917595,4000,0,0,1,1
193876000,-0.0021305291,-0.001065265,-0.00079894887,4000,0,-0.04831466,-0.0030547315,-9.772606,4000,0,0,1,1
193880000,2.600557e-10,-0.0018642143,-0.002130528,4000,0,-0.045920465,-0.0030547322,-9.737891,4000,0,0,1,1
193884000,-0.0002663164,-0.002663161,-0.0026631614,4000,0,-0.055497263,-0.015025738,-9.721132,4000,0,0,1,1
193888000,-0.001331582,-0.0018642119,-0.00026631722,4000,0,-0.07704508,-0.032982253,-9.715145,4000,0,0,1,1
193892000,0.00026631512,-0.0007989477,0.0015978975,4000,0,-0.07225667,-0.02101125,-9.713948,4000,0,0,1,1
193896000,0.00079894956,-0.0015978963,-0.0007989484,4000,0,-0.061482772,-0.0030547325,-9.722328,4000,0,0,1,1
193900000,-0.00079894724,-0.0015978958,-0.0031957948,4000,0,-0.04831466,-0.006646046,-9.733102,4000,0,0,1,1
193904000,-0.0010652621,0.0010652652,-0.0023968462,4000,0,-0.041132066,-0.009040246,-9.740286,4000,0,0,1,1
193908000,0.000266317,0.0021305282,-0.0023968462,4000,0,-0.04831466,-0.02101125,-9.754649,4000,0,0,1,1
193912000,0.0015978973,0.0021305282,-0.001864214,4000,0,-0.045920465,-0.035376463,-9.772606,4000,0,0,1,1
193916000,0.0018642147,0.0029294766,2.8754335e-10,4000,0,-0.027963951,-0.021011248,-9.785775,4000,0,0,1,1
193920000,0.00079894875,0.0015978968,0.0002663164,4000,0,-0.026766853,-0.011434438,-9.786973,4000,0,0,1,1
193924000,-0.00026631603,-0.0015978969,-3.115857e-10,4000,0,-0.041132066,-0.03537647,-9.766622,4000,0,0,1,1
